year,matric ,fsc,et,deduction,merit,Eligibility
2018,32.25454545,31.27272727,11.2,0,71.87,1
2018,31.05454545,31.78181818,11.2,2,71.78,1
2018,30.85714286,32,9.2,0,71.44,1
2018,35.41818182,32.72727273,8.8,0,71.41,1
2018,34.50909091,33.2,7.2,0,71.39,1
2018,29.89090909,31.34545455,10,0,71.38,1
2018,30.54545455,30.47272727,13.2,4,71.37,1
2018,32.50909091,30.61818182,11.6,2,71.26,1
2018,35.49090909,32.54545455,8,0,71,1
2018,34.8,30.94545455,9.6,0,70.92,1
2018,33.78181818,30.03636364,10,0,70.91,1
2018,37.78181818,33.6,8,2,70.86,1
2018,37.34545455,31.2,8,0,70.79,1
2018,35.01818182,31.89090909,9.2,0,70.7,1
2018,35.70909091,30.25454545,10.8,2,70.67,1
2018,35.2,31.01818182,8.4,0,70.38,1
2018,30.87272727,31.16363636,9.2,0,70.27,1
2018,34.03636364,31.2,8.4,0,70.23,1
2018,23.89090909,31.33333333,12,0,70.23,1
2018,34.36363636,31.81818182,8.4,0,70.19,1
2018,26.72727273,31.76666667,10,0,69.85,1
2018,32.8,32.43636364,7.2,0,69.73,1
2018,32.65454545,30.72727273,8.8,0,69.68,1
2018,32.43636364,27.89090909,12.8,0,69.6,1
2018,24.8,30.90909091,10.4,0,69.59,1
2018,34.94545455,31.2,8.4,0,69.53,1
2018,33.78181818,28.21818182,11.2,0,69.15,1
2018,34,24.25454545,14.8,0,69.07,1
2018,37.01818182,31.09090909,7.6,0,68.9,1
2018,31.38181818,30.58181818,9.6,2,68.83,1
2018,30.69090909,25.41818182,13.6,0,68.76,1
2018,33.23636364,32.07272727,10,4,68.73,1
2018,36.43636364,31.2,6.8,0,68.67,1
2018,25.2,31.38181818,9.2,0,68.59,1
2018,29.45454545,27.41818182,12.4,0,68.31,1
2018,26.03636364,32.4,9.2,0,68.27,1
2018,26.8,33.63636364,6.4,0,68.11,1
2018,33.74545455,31.41818182,6.8,0,68.03,1
2018,31.51111111,26.98181818,12.8,0,68,1
2018,33.81818182,30.90909091,7.2,0,67.95,1
2018,31.52727273,25.85454545,12.4,0,67.87,1
2018,33.45454545,30.87272727,7.2,0,67.77,1
2018,27.02222222,25.16363636,14,0,67.72,1
2018,34.69090909,28.47272727,10.4,0,67.6,1
2018,25.70909091,30.50909091,9.2,0,67.55,1
2018,34.32727273,28.58181818,9.6,0,67.45,1
