University ,Department,Year of passing ,Matric,Fsc ,ET,Deduction,Merit In %age,Eligibility
1,10,2018,21,21,10,0,52.3,0
1,10,2017,22,22,11,2,54.2,0
1,10,2017,22,22,11,2,54.2,0
1,10,2017,22,22,11,2,54,0
1,10,2017,22,22,11,2,53.9,0
1,10,2015,23,23,12,6,57.9,0
1,10,2018,21,21,10,0,51.9,0
1,10,2017,21,21,11,2,53.7,0
1,10,2018,21,21,10,0,51.7,0
1,10,2017,21,21,11,2,53.5,0
1,10,2018,21,21,10,0,51.5,0
1,10,2018,21,21,10,0,51.5,0
1,10,2018,21,21,10,0,51.5,0
1,10,2016,22,22,11,4,55.5,0
1,10,2017,21,21,11,2,53.4,0
1,10,2018,21,21,10,0,51.4,0
1,10,2016,22,22,11,4,55.4,0
1,10,2017,21,21,10,0,51.3,0
1,10,2017,21,21,11,2,53,0
1,10,2016,22,22,11,4,55,0
1,10,2016,22,22,11,4,54.9,0
1,10,2018,20,20,10,0,50.9,0
1,10,2018,20,20,10,0,50.8,0
1,10,2017,21,21,11,2,52.7,0
1,10,2018,20,20,10,0,50.7,0
1,10,2018,20,20,10,0,50.4,0
1,10,2017,21,21,10,2,52.3,0
1,10,2018,20,20,10,0,50.3,0
1,10,2018,20,20,10,0,50.2,0
1,10,2018,20,20,10,0,50.2,0
